doy,logidx,index
93,0.07406479262974189,1.0768765769011839
94,0.07259038124612599,1.0752899877474287
95,0.07106732502151877,1.0736535071806343
96,0.0694956559504886,1.0719674045151766
97,0.06787538201367017,1.0702319300202445
98,0.06620649507928283,1.0684473235029242
99,0.06448897931790841,1.0666138233680138
100,0.06272282007327702,1.0647316760785897
101,0.0609080131286353,1.062801145938269
102,0.05904457430542881,1.0608225251135572
103,0.057132549328536945,1.0587961438126643
104,0.05517202389016659,1.0567223805357366
105,0.0531631338427537,1.0546016723106246
106,0.05110607544984906,1.052434524828074
107,0.04900111562298601,1.0502215223906453
108,0.04684860207194863,1.0479633375907063
109,0.04464897329568391,1.0456607406345346
110,0.04240276834133329,1.043314608231903
111,0.04011063625949736,1.040925931973485
112,0.03777334518489174,1.0384958261220076
113,0.035391790972995676,1.0360255347472676
114,0.03296700532513538,1.0335164381398876
115,0.030500163336671517,1.030970058443985
116,0.027992590405562217,1.0283880644547123
117,0.0254457684415428,1.025772275532863
118,0.02286134131948411,1.023124664595352
119,0.02024111952414338,1.0204473601473287
120,0.017587083937497642,1.0177426473288798
121,0.014901388724119303,1.0150129679566648
122,0.012186363274601975,1.0122609195483345
123,0.009444513171850761,1.0094892533251085
124,0.006678520150087198,1.0067008711953824
125,0.0038912410216609497,1.0038988217296032
126,0.0010857055521867017,1.0010862951438146
127,-0.0017348867298999774,0.9982666173161739
128,-0.004567170797568146,0.9954432428672849
129,-0.0074076214656001275,0.9926197473413386
130,-0.010252559803715743,0.9897998185307137
131,-0.013098160613039408,0.9869872469918445
132,-0.01594046095062238,0.984185915804738
133,-0.018775369680843895,0.9813997896325065
134,-0.02159867802667388,0.9786329031406238
135,-0.024406071088026886,0.9758893488383242
136,-0.027193140288794628,0.973173264406609
137,-0.029955396708644506,0.9704888195787282
138,-0.032688285250344756,0.9678402026397677
139,-0.035387199588247584,0.9652316066121226
140,-0.03804749783866086,0.9626672151932009
141,-0.040664518888191496,0.9601511885107218
142,-0.043233599311773965,0.9576876487594957
143,-0.04575009080803115,0.9552806657816505
144,-0.04820937807587316,0.9529342426499599
145,-0.050606897052843616,0.9506523013113019
146,-0.052938153432694986,0.9484386683443841
147,-0.05519874137702655,0.9462970608828052
148,-0.05738436233357374,0.9442310727513237
149,-0.05949084387190317,0.9422441608599692
150,-0.06151415844586006,0.940339631897409
151,-0.06345044199114484,0.9385206293618421
152,-0.06529601226586569,0.9367901209647033
153,-0.06704738684183756,0.9351508864396634
154,-0.06870130065477169,0.9336055057868806
155,-0.07025472302233232,0.9321563479802052
156,-0.07170487404031878,0.9308055601631416
157,-0.07304924026897025,0.9295550573578257
158,-0.07428558962357129,0.9284065127101139
159,-0.07541198538615675,0.9273613482931315
160,-0.0764267992581686,0.9264207264912672
161,-0.07732872337738261,0.9255855419866456
162,-0.07811678122629868,0.9248564143705447
163,-0.07879033736344952,0.9242336814030114
164,-0.07934910591371602,0.9237173929450561
165,-0.07979315775872065,0.9233073055892179
166,-0.08012292637368648,0.9230028780159543
167,-0.08033921226276944,0.9228032671051463
168,-0.08044318595077792,0.9227073248339814
169,-0.08043638949535051,0.922713595994498
170,-0.08032073649005676,0.9228203167660702
171,-0.08009851053547119,0.9230254141800147
172,-0.07977236216203432,0.9233265065152091
173,-0.07934530419541085,0.9237209046650529
174,-0.07882070556206681,0.9242056145171783
175,-0.07820228353986537,0.9247773403879513
176,-0.07749409446561296,0.9254324895538895
177,-0.07670052291861848,0.9261671779215997
178,-0.07582626940644255,0.9269772368766077
179,-0.07487633658606925,0.9278582213494403
180,-0.07385601406069366,0.9288054191344821
181,-0.07277086179916224,0.9298138614933736
182,-0.0716266922317856,0.9308783350700278
183,-0.0704295510827356,0.9319933951386749
184,-0.06918569700551873,0.933153380199673
185,-0.06790158009403648,0.9343524279301636
186,-0.06658381934749065,0.9355844924879962
187,-0.06523917917282511,0.9368433631577524
188,-0.06387454501349506,0.9381226843172045
189,-0.06249689819809307,0.9394159766912246
190,-0.061113290106712584,0.9407166598481175
191,-0.05973081575687484,0.9420180758806883
192,-0.05835658691435971,0.9433135142012159
193,-0.05699770483734977,0.9445962373660389
194,-0.055661232764900856,0.9458595078318344
195,-0.05435416826287696,0.9470966155320786
196,-0.05308341554212105,0.9483009061488149
197,-0.05185575786476574,0.9494658099419276
198,-0.05067783015520811,0.9505848709858492
199,-0.04955609193238107,0.9516517766522345
200,-0.048496800679539,0.9526603871668284
201,-0.04750598576684278,0.9536047650597589
202,-0.0465894230405782,0.9544792043210005
203,-0.0457526101908732,0.9552782590669635
204,-0.04500074300730458,0.9559967715202516
205,-0.044338692628807456,0.9566298991027309
206,-0.043770983890834524,0.9571731404422951
207,-0.04330177486876922,0.9576223600961848
208,-0.04293483771219218,0.957973811798474
209,-0.042673540859751884,0.9582241600463973
210,-0.04252083271911758,0.9583704998495441
211,-0.04247922689081705,0.9584103744775119
212,-0.042550789008706305,0.9583417910553239
213,-0.04273712526340987,0.9581632338716078
214,-0.043039372668333714,0.9578736752820473
215,-0.043458191120818515,0.9574725841097446
216,-0.0439937573036983,0.9569599314646248
217,-0.04464576046498936,0.9563361939256009
218,-0.04541340010568992,0.9556023540516314
219,-0.04629538559775629,0.9547598982107002
220,-0.047289937746268926,0.953810811738847
221,-0.048394792301650905,0.9527575714643235
222,-0.049607205419579636,0.9516031356544473
223,-0.05092396105799132,0.9503509314644353
224,-0.05234138029233171,0.9490048399881459
225,-0.05385533252201514,0.9475691790299372
226,-0.05546124853293697,0.9460486837345222
227,-0.05715413537288483,0.9444484852275378
228,-0.058928592988848075,0.9427740874333478
229,-0.06077883256756656,0.9410313422482212
230,-0.06269869651322063,0.9392264232563495
231,-0.06468167998898548,0.9373657981831173
232,-0.06672095394227659,0.9354562002845815
233,-0.06880938952694134,0.9335045988742642
234,-0.07093958382942621,0.931518169188155
235,-0.07310388680010194,0.9295042617863588
236,-0.07529442928548802,0.9274703716852046
237,-0.07750315205210348,0.9254241074070353
238,-0.07972183568811421,0.9233731601264716
239,-0.0819421312648597,0.9213252730819218
240,-0.08415559163675221,0.9192882114096746
241,-0.08635370325495989,0.9172697325453378
242,-0.08852791836772926,0.9152775573238747
243,-0.09066968747818524,0.9133193418953195
244,-0.09277049192897817,0.9114026505586398
245,-0.0948218764822293,0.9095349296014276
246,-0.09681548176287873,0.907723482218334
247,-0.09874307643374379,0.9059754445666756
248,-0.10059658897137475,0.9042977630035985
249,-0.1023681389131281,0.9026971725358032
250,-0.10405006744776893,0.9011801765002522
251,-0.10563496722435955,0.8997530274826675
252,-0.10711571125716862,0.8984217094700764
253,-0.10848548080784767,0.897191921224306
254,-0.10973779213014313,0.8960690608552085
255,-0.11086652196693036,0.8950582115655974
256,-0.11186593169435319,0.8941641285344073
257,-0.11273069001330485,0.8933912269004729
258,-0.11345589409437087,0.892743570806542
259,-0.11403708908864907,0.8922248634616724
260,-0.11447028592353423,0.8918384381799624
261,-0.11475197730958314,0.8915872503545642
262,-0.11487915189192324,0.8914738703280621
263,-0.11484930648730612,0.891500477123471
264,-0.11466045635580405,0.8916688530042132
265,-0.11431114346426446,0.8919803788363787
266,-0.11380044270694585,0.8924360302322168
267,-0.1131279660572153,0.8930363744600396
268,-0.11229386463276034,0.893781568112406
269,-0.11129882866542042,0.8946713555314514
270,-0.11014408537543291,0.8957050679973968
271,-0.10883139475858103,0.8968816236934858
272,-0.10736304330339136,0.8981995284676758
273,-0.1057418356641092,0.8996568774182555
274,-0.10397108432365815,0.9012513573369844
275,-0.10205459728911319,0.9029802500492462
