slope_decade,p,measure,threshold,weighting,seasons
-3.5282051282050593,0.28420761620812607,Length,20,gap_weighted,26
3.900854700854656,0.12555414334599221,Opens,21,gap_weighted,26
-0.3521367521367311,0.9331660976728784,Closes,21,gap_weighted,26
-4.252991452991373,0.3392393484826347,Length,21,gap_weighted,26
5.449572649572626,0.0212987502243369,Opens,22,gap_weighted,26
-3.432478632478614,0.4157987577284813,Closes,22,gap_weighted,26
-8.88205128205119,0.04869770008755107,Length,22,gap_weighted,26
5.777777777777734,0.011707366574067728,Opens,23,gap_weighted,26
-0.6837606837605819,0.8741360593861266,Closes,23,gap_weighted,26
-6.46153846153833,0.15999304968458386,Length,23,gap_weighted,26
3.572649572649542,0.26612228019323686,Opens,24,gap_weighted,26
-3.7641025641025827,0.3401760866429602,Closes,24,gap_weighted,26
-7.3367521367520885,0.07848531103071524,Length,24,gap_weighted,26
2.68376068376061,0.48047050991798623,Opens,25,gap_weighted,26
-3.8188034188033875,0.38126424157897243,Closes,25,gap_weighted,26
-6.502564102563982,0.1419275754515806,Length,25,gap_weighted,26
2.317948717948866,0.5658970638568834,Opens,26,gap_weighted,26
-3.9999999999999485,0.3318078498073401,Closes,26,gap_weighted,26
-6.317948717948795,0.08459329643072294,Length,26,gap_weighted,26
0.16752136752145358,0.9683599128858031,Opens,27,gap_weighted,26
-4.283760683760652,0.2768474749600568,Closes,27,gap_weighted,26
-4.4512820512820985,0.29600431289253076,Length,27,gap_weighted,26
-2.3179487179486973,0.5498031371497583,Opens,28,gap_weighted,26
-5.555555555555577,0.12957369250266235,Closes,28,gap_weighted,26
-3.237606837606839,0.4536513697978364,Length,28,gap_weighted,26
-1.4085470085469747,0.706060540861794,Opens,29,gap_weighted,26
-1.791452991452973,0.5862300487348111,Closes,29,gap_weighted,26
-0.38290598290599887,0.9380816600414236,Length,29,gap_weighted,26
0.5196581196581624,0.9014496633214956,Opens,30,gap_weighted,26
-2.1299145299145508,0.38850490011511296,Closes,30,gap_weighted,26
-2.649572649572659,0.5924634569859641,Length,30,gap_weighted,26
-0.6017094017094315,0.8884977482970634,Opens,31,gap_weighted,26
-0.7213675213674929,0.7523425723854209,Closes,31,gap_weighted,26
-0.11965811965804603,0.9809676391594955,Length,31,gap_weighted,26
