year,site,ROADWAY,DESC_FRM,DESC_TO,aadt,KFCTR,DFCTR,COUNTY
2024,030189,03030000,CR 92/SAN MARCO RD,Bridge No-030293,15100,9,57.3,Collier
2024,034102,03000008,BROAD AVE S,BANYAN BLVD,3000,9,57.4,Collier
2024,030179,03010000,LEE CO  LN,SHOPPING CENTER ENT,41500,9,57.3,Collier
2024,034030,03000038,GULFSHORE BLVD,US-41/SR-45,12900,9,57.4,Collier
2024,034125,03000523,VANDERBILT BCH RD,CR-846/IMMOKALEE RD,9500,9,57.4,Collier
2024,030178,03001000,US 41/SR 90,AIRPORT PULLING RD,27000,9,57.4,Collier
2024,030094,03010000,PETERS AVE,THOMASSON DR,43163,9,57.3,Collier
2024,034124,03000523,CR-896/PINE RIDGE RD,VANDERBILT BCH RD,7000,9,57.4,Collier
2024,030058,03000025,RATTLESNAKE HAMMOCK,DAVIS BLVD,21500,9,57.4,Collier
2024,030124,03010000,GDLTE FRANK RD/CR851,DAVIS BLVD/ SR 84,56500,9,57.3,Collier
2024,030201,03000303,20TH ST NE,N/A,300,9.5,57.4,Collier
2024,034100,03000001,HURON CT,SR-951/SAN MARCO RD,8400,9,57.3,Collier
2024,030123,03010000,5TH AVE S,GDLTE FRANK RD/CR851,42000,9,57.3,Collier
2024,030059,03000026,BANYAN BLVD,GULF SHORE BLVD N,3400,9,57.4,Collier
2024,030177,03003000,US-41,SR-84/DAVIS BLVD,35000,9,57.4,Collier
2024,034127,03000601,SCOTT DR,CR 92/SAN MARCO DR,6400,9,57.4,Collier
2024,030157,03030000,Bridge No-030293,SR 90/US 41,41000,9,57.3,Collier
2024,030057,03000022,COLLIER BLVD,LELY RESORT BLVD,6800,9,57.4,Collier
2024,034531,03000056,CR951/COLLIER BLVD,N/A,38500,9,57.4,Collier
2024,030024,03003000,UNSIGNED,PINE RIDGE RD,40500,9,57.4,Collier
2024,030271,03000301,GOLDEN GATE BLVD,12TH AVE NE,2800,9,57.4,Collier
2024,034103,03000013,GULFSHORE BLVD,9TH ST S /US-41,3400,9,57.4,Collier
2024,030193,03001000,CR 856 / RADIO RD,CR 951/COLLIER BLVD,29000,9,57.4,Collier
2024,030192,03010000,111TH AVE N/CR 846,VANDER BCH RD/CR 862,56500,9,57.3,Collier
2024,034117,03000058,CARSON RD,NEW MARKET RD/CR-29A,5800,9,57.4,Collier
2024,034106,03000027,END OF RD/BCH ACCESS,US-41/SR45,6500,9,57.4,Collier
2024,030195,03001000,COUNTY BARN RD,SANTA BARBARA BLVD,29000,9,57.4,Collier
2024,030176,03001000,AIRPORT PULLING RD,COUNTY BARN RD,27000,9,57.4,Collier
2024,030060,03000041,AIRPORT PULLING RD,LIVINGSTON RD,12300,9,57.4,Collier
2024,034121,03000062,IMMOKALEE DR,NEW MARKET RD/CR29 A,9700,9,57.4,Collier
2024,034900,03000018,US 41 TAMIAMI TRAIL,CR-864/RATLSNAK HAMM,9800,9,57.4,Collier
2024,030015,03010000,THOMASSON DR,TREETOPS DR,47000,9,57.3,Collier
2024,034113,03000053,ORCHARD LN,US 41/SR 90,9900,9,57.4,Collier
2024,034129,03020000,SR-29/MAIN ST,HENDRY CO. LN/CR-858,3200,9,57.4,Collier
2024,030272,03000302,GOLDEN GATE BLVD,12TH AVE NE,210,9,57.4,Collier
2024,030062,03000524,VANDERBILT BEACH RD,LEE COUNTY LINE,14900,9,57.4,Collier
2024,030175,03003000,SR-84/DAVIS BLVD,NORTH RD,53500,9,57.4,Collier
2024,034118,03000059,LAKE TRAFFORD/CR890,WESTCLOX ST,6200,9,57.4,Collier
2024,034901,03000019,PINE RIDGE ROAD,AIRPORT ROAD,15800,9,57.4,Collier
2024,034199,03000007,GULF SHORE BLVD,CRAYTON RD,2400,9,57.4,Collier
2024,034200,03000052,NORMANDY DR,US 41/TAMIAMI TRL,1250,9,57.4,Collier
2024,030045,03000029,PARK SHORE DR,SEAGATE DR,5100,9,57.4,Collier
2024,030014,03010000,TREETOPS DR,SR 951,40500,9,57.3,Collier
2024,030111,03010000,SAN MARCO DR/CR 92,CR 29,3900,9.5,57.4,Collier
2024,034522,03000052,BAYSHORE DR,ORCHARD LN,9600,9,57.4,Collier
2024,030194,03010000,SR 951,SIX L'S FARM RD,25500,9,57.4,Collier
2024,034126,03000529,CORKSCREW RD,CR 850/WILDCAT DR,7000,9.5,57.4,Collier
2024,030017,03010000,VANDER BCH RD/CR 862,GULF PARK DR,43500,9,57.3,Collier
2024,030170,03001000,SANTA BARBARA BLVD,CR 856 / RADIO RD,16400,9,57.4,Collier
2024,034712,03000039,S COLLIER BLVD,S BARFIELD DR,4300,9,57.4,Collier
2024,030003,03010000,SEAGATE DR/CR 896,PARK SHORE DR,44000,9,57.3,Collier
2024,034108,03000036,SANTA BARBARA BLVD,COLLIER BLVD/CR-951,13000,9,57.4,Collier
2024,034621,03000055,CR-92/SAN MARCO RD,BRIARWOOD CT,3600,9,57.4,Collier
2024,035029,03010000,NAPLES PLZ  ENT,BANYAN BLVD,41000,9,57.3,Collier
2024,030012,03010000,GULF PARK DR,SEAGATE DR/CR 896,49000,9,57.3,Collier
2024,030201,03000303,N/A,EVERGLADES BLVD,300,9.5,57.4,Collier
2024,030056,03000021,GRAND LELY DR,COLLIER BLVD,3900,9,57.4,Collier
2024,030005,03010000,SIX L'S FARM RD,SAN MARCO DR/CR 92,6300,9.5,57.4,Collier
2024,034123,03000066,SR 82,TERMINUS,850,9.5,57.4,Collier
2024,034114,03000054,GOLDEN GATE BLVD,CR 846/ IMMOKALEE RD,8800,9,57.4,Collier
2024,034034,03000030,.362 S OF HARBOUR DR,.625 N OF PARK SHORE,2000,9,57.4,Collier
2024,035007,03010000,BANYAN BLVD,5TH AVE S,36000,9,57.3,Collier
2024,034622,03000055,BRIARWOOD CT,BALD EAGLE DR,8900,9,57.4,Collier
2024,030044,03000029,HARBOR DR,PARK SHORE DR,3100,9,57.4,Collier
2024,030035,03003000,PINE RIDGE RD,N/A,54000,9,57.4,Collier
2024,034201,03000064,UNSIGNED,LK TRAFFORD RD/CR890,4200,9,57.4,Collier
2024,034104,03000020,CR-896/PINE RIDGE RD,CR-846/IMMOKALEE RD,25000,9,57.4,Collier
2024,034116,03000057,CR 846 IMMOKALEE RD,EVERGLADES BLVD,19400,9,57.4,Collier
2024,034101,03000007,CRAYTON RD,US-41/SR-45/9TH ST N,1800,9,57.4,Collier
2024,030273,03000302,12TH AVE NE,N/A,3700,9.5,57.4,Collier
2024,030018,03010000,SHOPPING CENTER ENT,111TH AVE N/CR 846,62000,9,57.3,Collier
2024,034122,03000063,SR 29 (W MAIN ST),IMMOKALEE DR,12500,9,57.4,Collier
2024,034530,03000015,US 41/TAMIAMI TR,GOODLETTE-FRANK RD,25000,9,57.4,Collier
2025,034576,03521000,ORANGE BLOSSOM DR,VANDERBILTBCHRDCR862,40500,9,57.7,Collier
2025,034516,03505000,US-41/SR-90,COUNTY BARN RD,22500,9,57.7,Collier
2025,034531,03000043,COLLIER BLVD/CR 951,GOLDEN GATE BLVD,38500,9,57.7,Collier
2025,034712,03000039,S COLLIER BLVD,S BARFIELD DR,4300,9,57.7,Collier
2025,034205,03000340,N/A,N/A,7700,9,57.7,Collier
2025,034670,03610000,GULF HARBOR DR,VANDERBILT DR/CR 901,4900,9,57.7,Collier
2025,034166,03530000,AIRPORT PULLING,N/A,25500,9,57.7,Collier
2025,034526,03504000,N/A,COLLIER BLVD/CR-951,45500,9,57.7,Collier
2025,030018,03010000,SHOPPING CENTER ENT,111TH AVE N/CR 846,62000,9,57.4,Collier
2025,030048,03060000,S BARFIELD DR,US 41/TAMIAMI TRL,3200,9,57.7,Collier
2025,030024,03003000,UNSIGNED,PINE RIDGE RD,40500,9,57.7,Collier
2025,034673,03521000,IMMOKALEE RD/CR 846,LEE CO  LINE,37000,9,57.7,Collier
2025,034139,03501000,LEE CO  LINE,SR 82,7000,9.5,57.7,Collier
2025,030104,03040000,CR 29,CR839TURNER RIVER RD,3300,9.5,58,Collier
2025,034529,03513000,GOLDEN GATE PKWY,GREEN BLVD,30000,9,57.7,Collier
2025,034900,03000022,COLLIER BLVD,LELY RESORT BLVD,9800,9,57.7,Collier
2025,032000,03175000,Bridge No-030196,GOLDEN GT PKWY/CR886,47500,9,56.2,Collier
2025,034100,03000001,HURON CT,SR-951/SAN MARCO RD,8400,9,57.4,Collier
2025,030017,03010000,VANDER BCH RD/CR 862,GULF PARK DR,43500,9,57.4,Collier
2025,034669,03610000,US41/TAMIAMI TRL,GULF HARBOR DR,7300,9,57.7,Collier
2025,030193,03001000,CR 856 / RADIO RD,CR 951/COLLIER BLVD,27500,9,57.7,Collier
2025,034578,03550000,CR888/WIGGINS PASSRD,BLUEBILL AVE,7300,9,57.7,Collier
2025,030160,03504000,AIRPORT PULLING/CR31,LIVINGSTON RD,60500,9,57.7,Collier
2025,030205,03080000,CR 858 / OIL WELL RD,NEW HARVEST RD,9900,9,58,Collier
2025,034149,03512000,US41 / TAMIAMI TRL,N/A,31500,9,57.7,Collier
2025,034199,03000007,GULF SHORE BLVD,CRAYTON RD,2400,9,57.7,Collier
2025,030003,03010000,SEAGATE DR/CR 896,PARK SHORE DR,44000,9,57.4,Collier
2025,030067,03631102,AIRPORT PULLING RD,GOLDEN GATE PKWY,11000,9,99.9,Collier
2025,034186,03631100,BEARS PAW TRL,CR 881 LIVINGSTON RD,54000,9,57.7,Collier
2025,034206,03000670,COLLIER BLVD,TAMIAMI TRLE,7700,9,57.7,Collier
2025,030201,03000303,N/A,EVERGLADES BLVD,300,9.5,57.7,Collier
2025,034548,03610000,VANDERBILT DR/CR 901,BONITA BEACH RD SW,9400,9,57.7,Collier
2025,034659,03503000,VANDERBILT BCH RD,CR 846/NAPLES-IMMOKA,30500,9,57.7,Collier
2025,037032,03175017,IMMOKALEE RD/CR 846,I-75 SB/ SR 93,11000,9,99.9,Collier
2025,030050,03515000,52ND AVE SE,GOLDEN GATE BLVD,10200,9,57.7,Collier
2025,034034,03000030,.362 S OF HARBOUR DR,.625 N OF PARK SHORE,2000,9,57.7,Collier
2025,034126,03000529,CORKSCREW RD,CR 850/WILDCAT DR,7000,9.5,57.7,Collier
2025,035629,03516000,GULF SHORE BLVD,US-41,4800,9,57.7,Collier
2025,037005,03175034,I-75 NB,I-75 NB,150,10.5,99.9,Collier
2025,034111,03000044,BANYAN BLVD,HARBOUR DR,2900,9,57.7,Collier
2025,034525,03530000,N/A,WHITE BLVD,44500,9,57.7,Collier
2025,034531,03000056,CR951/COLLIER BLVD,N/A,38500,9,57.7,Collier
2025,037024,03175013,I-75 / SR 93 SB,PINE RIDGE RD/CR 896,13500,9,99.9,Collier
2025,034899,03000018,N/A,CR-864/RATLSNAK HAMM,6850,9,57,Collier
2025,034204,03000304,IMMOKALEE RD,20TH ST NE,800,9,57.7,Collier
2025,034507,03631000,BEARS PAW TR,N/A,59500,9,57.7,Collier
2025,034687,03521000,BRIARWOOD BLVD,GOLDENGATEPKWY/CR886,42000,9,57.7,Collier
2025,034522,03000052,BAYSHORE DR,ORCHARD LN,9600,9,57.7,Collier
2025,030006,03080000,SR90/US41/TAMIAMI TR,Bridge No-030291,2150,9.5,57.7,Collier
2025,030111,03010000,SAN MARCO DR/CR 92,CR 29,3900,9.5,57.7,Collier
2025,034901,03000019,PINE RIDGE ROAD,AIRPORT ROAD,15800,9,57.7,Collier
2025,030179,03010000,LEE CO  LN,SHOPPING CENTER ENT,41500,9,57.4,Collier
2025,030195,03001000,COUNTY BARN RD,SANTA BARBARA BLVD,30000,9,57.7,Collier
2025,034523,03530000,RAMP NORTH OF I-75,N/A,41500,9,57.7,Collier
2025,032003,03175000,GOLDEN GT PKWY/CR886,Bridge No-030200,85500,9,56.2,Collier
2025,034106,03000027,END OF RD/BCH ACCESS,US-41/SR45,7000,9,57.7,Collier
2025,034118,03000059,LAKE TRAFFORD/CR890,WESTCLOX ST,6200,9,57.7,Collier
2025,030143,03080000,CR 29A,SR 82,23500,9.5,56,Collier
2025,034606,03511000,Bridge No-030199,N/A,59500,9,57.7,Collier
2025,034900,03000018,US 41 TAMIAMI TRAIL,N/A,9800,9,57.7,Collier
2025,034128,03003000,N/A,US-41/SR-45,37000,9,57.7,Collier
2025,034207,03000698,N/A,PINE RIDGE RD,800,9,57.7,Collier
2025,034575,03521000,PINE RIDGE RD/CR 896,ORANGE BLOSSOM DR,33500,9,57.7,Collier
2025,034112,03000046,CR-862/VANDERBILT RD,111 AVE,4900,9,57.7,Collier
2025,037013,03175007,SR-951 SB,I-75 NB,15500,10.5,99.9,Collier
2025,037035,03175035,I-75 / SR 93 NB,CR 886/GOLDEN GATE,2500,9,99.9,Collier
2025,030191,03175000,Bridge No-030200,Bridge No-030321,92396,9,54.7,Collier
2025,034144,03510000,SAN MARCO RD,END OF ROUNDABOUT,13400,9,57.7,Collier
2025,030022,03000010,TERMINAL DR,AIRPORT PULLING RD,2300,9,57.7,Collier
2025,030005,03010000,SIX L'S FARM RD,SAN MARCO DR/CR 92,5000,9.5,57.7,Collier
2025,030189,03030000,CR 92/SAN MARCO RD,Bridge No-030293,13100,9,57.4,Collier
2025,034201,03000064,UNSIGNED,LK TRAFFORD RD/CR890,4200,9,57.7,Collier
2025,034176,03580000,MAIN ST,NEW MARKET RD W,16800,9,58,Collier
2025,037002,03175025,SR-29,I-75,2800,10.5,99.9,Collier
2025,034131,03060000,COLLIER BLVD/SR 951,S BARFIELD DR,4700,9,57.7,Collier
2025,034537,03000040,SR-84/DAVIS BLVD,CR-856/RADIO RD,39500,9,57.7,Collier
2025,034117,03000058,CARSON RD,NEW MARKET RD/CR-29A,5800,9,57.7,Collier
2025,030064,03631101,GOLDEN GATE PKWY,AIRPORT PULLING RD,12000,9,99.9,Collier
2025,034536,03530000,WHITE BLVD,GOLDEN GATE BLVD,54000,9,57.7,Collier
2025,034010,03507000,THE COMMONS,GOLDEN GATE PKWY,36000,9,57.7,Collier
2025,034102,03000008,BROAD AVE S,BANYAN BLVD,3000,9,57.7,Collier
2025,030192,03010000,111TH AVE N/CR 846,VANDER BCH RD/CR 862,60000,9,57.4,Collier
2025,030065,03631103,AIRPORT PULLING RD,GOLDEN GATE PKWY,11000,9,99.9,Collier
2025,032354,03634001,GULF SHORE BLVD,US-41/SR-45,6800,9,57.7,Collier
2025,034127,03000601,SCOTT DR,CR 92/SAN MARCO DR,6400,9,57.7,Collier
2025,034172,03540000,SR 29,CO. LINE RD,900,9.5,57.7,Collier
2025,034503,03503000,CR896/PINE RIDGE RD,VANDERBILT BCH RD,45000,9,57.7,Collier
2025,037014,03175005,I-75,SR-951,17500,10.5,99.9,Collier
2025,034108,03000036,SANTA BARBARA BLVD,COLLIER BLVD/CR-951,13000,9,57.7,Collier
2025,034121,03000062,IMMOKALEE DR,NEW MARKET RD/CR29 A,9700,9,57.7,Collier
2025,034176,03580000,NEW MARKET RD W,SR-29/N 15TH ST,8400,9,99.9,Collier
2025,037033,03175023,IMMOKALEE RD/CR 846,I-75 NB / SR 93,20500,9,99.9,Collier
2025,030001,03080000,LK TRAFFORD RD,CR 29A,12600,9,58,Collier
2025,037034,03175021,I-75 SB / SR 93,IMMOKALEE RD/CR 846,21500,9,99.9,Collier
2025,035007,03010000,BANYAN BLVD,5TH AVE S,36000,9,57.4,Collier
2025,030038,03080000,IMMOKALEE DR,LK TRAFFORD RD,18800,9,58,Collier
2025,034530,03000015,US 41/TAMIAMI TR,GOODLETTE-FRANK RD,25000,9,57.7,Collier
2025,034209,03900078,GULF SHORE BLVD N,9TH ST N,11000,9,57.7,Collier
2025,034165,03528000,COLLIER/MONROE CO LN,US 41/TAMIAMI TRAIL,80,9.5,57.7,Collier
2025,037003,03175028,SR-29,I-75,1300,10.5,99.9,Collier
2025,034203,03590000,TURNOUT TO I75 SB,MAIN ST/SR 29,11100,9.5,57.7,Collier
2025,034628,03504000,LIVINGSTON RD,N/A,72000,9,57.7,Collier
2025,030183,03050000,HENDRY CO LN,CR850/CORKSCREW RD,20800,9.5,58,Collier
2025,034148,03510100,PELICAN EAST,SR 951/COLLIER BLVD,3800,9,57.7,Collier
2025,034532,03030000,SR 90/US 41,VERONA WALK BLVD,42000,9,57.4,Collier
2025,034103,03000013,GULFSHORE BLVD,9TH ST S /US-41,3400,9,57.7,Collier
2025,030094,03010000,PETERS AVE,THOMASSON DR,43418,9,57.4,Collier
2025,030063,03631105,GOLDEN GATE PKWY,GOODLETTE FRANK RD,6700,9,99.9,Collier
2025,030272,03000302,GOLDEN GATE BLVD,12TH AVE NE,230,9,57.7,Collier
2025,034585,03518000,GULFSHORE DR,US41/TAMIAMI TRL,4400,9,57.7,Collier
2025,037004,03175026,I-75,SR-29,2400,10.5,99.9,Collier
2025,030002,03080000,NEW HARVEST RD,1ST ST,10100,9,58,Collier
2025,034510,03511000,N/A,CR 951/COLLIER BLVD,24500,9,57.7,Collier
2025,030014,03010000,TREETOPS DR,SR 951,40500,9,57.4,Collier
2025,030066,03631104,GOLDEN GATE PKWY,AIRPORT PULLING RD,10000,9,99.9,Collier
2025,030190,03030001,BECK BLVD,ENDS @ RIGHT OF WAY,66500,9,57.4,Collier
2025,034124,03000523,CR-896/PINE RIDGE RD,VANDERBILT BCH RD,7000,9,57.7,Collier
2025,034655,03530000,GOLDEN GATE BLVD,CR 846,44500,9,57.7,Collier
2025,034652,03000056,N/A,500'E OF DESOTO BLVD,34000,9,57.7,Collier
2025,030170,03001000,SANTA BARBARA BLVD,CR 856 / RADIO RD,16400,9,57.7,Collier
2025,037031,03175019,I-75 NB / SR 93,IMMOKALEE RD/CR 846,11000,9,99.9,Collier
2025,030052,03515000,GOLDEN GATE BLVD,CR-846/IMMOKALEE RD,12100,9,57.7,Collier
2025,030060,03000041,AIRPORT PULLING RD,LIVINGSTON RD,12300,9,57.7,Collier
2025,030177,03003000,US-41,SR-84/DAVIS BLVD,35000,9,57.7,Collier
2025,030158,03631000,N/A,CR 896/PINE RIDGE RD,35000,9,57.7,Collier
2025,034657,03030000,VERONA WALK BLVD,N/A,41500,9,57.4,Collier
2025,037037,03175037,I-75 / SR 93 SB,CR 886/GOLDEN GATE,22000,9,99.9,Collier
2025,039950,03175000,Bridge No-030321,LEE COUNTY LINE,116388,9,52.4,Collier
2025,030044,03000029,HARBOR DR,PARK SHORE DR,3100,9,57.7,Collier
2025,034119,03000060,CR-901/VANDERBILT DR,BLUEBILL AVE,3200,9,57.7,Collier
2025,037021,03175009,I-75/SR-93,PINE RIDGE RD/CR-896,6300,9,99.9,Collier
2025,034030,03000038,GULFSHORE BLVD,US-41/SR-45,12900,9,57.7,Collier
2025,034902,03000061,CARSON RD,N/A,9100,9,57.7,Collier
2025,034602,03030000,RATTLESNAKE HAMMOCK,N/A,47500,9,57.4,Collier
2025,030061,03527000,N/A,CR 846/IMMOKALEE RD,4100,9.5,57.7,Collier
2025,034621,03000055,CR-92/SAN MARCO RD,BRIARWOOD CT,3600,9,57.7,Collier
2025,030194,03010000,SR 951,SIX L'S FARM RD,25500,9,57.7,Collier
2025,034101,03000007,CRAYTON RD,US-41/SR-45/9TH ST N,1800,9,57.7,Collier
2025,035001,03010000,DAVIS BLVD/ SR 84,PETERS AVE,35500,9,57.4,Collier
2025,034603,03030000,N/A,RATTLESNAKE HAMMOCK,45500,9,57.4,Collier
2025,030023,03003000,NORTH RD,UNSIGNED,52500,9,57.7,Collier
2025,034174,03560000,PEPPER RD,SR-29/15TH ST,9600,9,57.7,Collier
2025,037006,03175033,I-75 SB,I-75 SB,250,10.5,99.9,Collier
2025,034567,03590000,SR 45/US 41,TURNOUT TO I75 SB,61000,9,57.7,Collier
2025,037036,03175036,CR 886/GOLDEN GATE,I-75 / SR 93 SB,2600,9,99.9,Collier
2025,030184,03080000,SR 82,HENDRY CO. LN,8300,9.5,58,Collier
2025,034150,03512000,N/A,CR 951/COLLIER BLVD,30500,9,57.7,Collier
2025,030012,03010000,GULF PARK DR,SEAGATE DR/CR 896,52000,9,57.4,Collier
2025,034208,03000699,N/A,N/A,11000,9,57.7,Collier
2025,034166,03530001,IBIS CLUB DR,SR 84/DAVIS BLVD,25500,9,57.7,Collier
2025,037007,03175032,C/L OF 03175030,C/L OF 03175031,150,10.5,53.9,Collier
2025,030270,03040000,CR839TURNER RIVER RD,CR 94/LOOP RD,3667,9.5,58,Collier
2025,034605,03511000,LIVINGSTON RD,Bridge No-030199,59000,9,57.7,Collier
2025,030056,03000021,GRAND LELY DR,COLLIER BLVD,3900,9,57.7,Collier
2025,030351,03175000,N/A,Bridge No-030196,31302,10.5,54.1,Collier
2025,034534,03505000,COUNTY BARN RD,N/A,19300,9,57.7,Collier
2025,034104,03000020,CR-896/PINE RIDGE RD,CR-846/IMMOKALEE RD,26500,9,57.7,Collier
2025,034122,03000063,SR 29 (W MAIN ST),IMMOKALEE DR,12500,9,57.7,Collier
2025,034521,03530000,BAYSHORE DR,US 41/TAMIAMI TRAIL,17300,9,57.7,Collier
2025,034116,03000057,CR 846 IMMOKALEE RD,EVERGLADES BLVD,19400,9,57.7,Collier
2025,034137,03070000,COPELAND AVE,US41/TAMIAMI TRAIL,2400,9.5,57.7,Collier
2025,030062,03000524,VANDERBILT BEACH RD,LEE COUNTY LINE,14900,9,57.7,Collier
2025,030011,03040000,CR 94/LOOP RD,DADE CO LN,2700,9.5,58,Collier
2025,034690,03521000,GOLDENGATEPKWY/CR886,PINE RIDGE RD/CR 896,30000,9,57.7,Collier
2025,034622,03000055,BRIARWOOD CT,BALD EAGLE DR,8900,9,57.7,Collier
2025,030157,03030000,Bridge No-030293,SR 90/US 41,41000,9,57.4,Collier
2025,30202,03900492, , ,1000,9,57,Collier
2025,034686,03521000,CR856/RADIO RD,BRIARWOOD BLVD,28500,9,57.7,Collier
2025,034113,03000053,ORCHARD LN,US 41/SR 90,9900,9,57.7,Collier
2025,037022,03175011,PINE RIDGE RD/CR-896,I-75/SR-93,8000,9,99.9,Collier
2025,030059,03000026,BANYAN BLVD,GULF SHORE BLVD N,3400,9,57.7,Collier
2025,034123,03000066,SR 82,TERMINUS,1850,9.5,57.7,Collier
2025,034187,03632000,CR-846/IMMOKALEE RD,SR-29,14200,9.5,57.7,Collier
2025,034597,03521000,VANDERBILTBCHRDCR862,IMMOKALEE RD/CR 846,32500,9,57.7,Collier
2025,037039,03175039,CR 886/GOLDEN GATE,RAMP# 03175038,9100,9,99.9,Collier
2025,030200,03050000,CR850/CORKSCREW RD,SR 29,22000,9.5,58,Collier
2025,030123,03010000,5TH AVE S,GDLTE FRANK RD/CR851,42000,9,57.4,Collier
2025,030058,03000025,RATTLESNAKE HAMMOCK,DAVIS BLVD,24000,9,57.7,Collier
2025,030124,03010000,GDLTE FRANK RD/CR851,DAVIS BLVD/ SR 84,55000,9,57.4,Collier
2025,034129,03020000,SR-29/MAIN ST,HENDRY CO. LN/CR-858,2800,9,57.7,Collier
2025,030015,03010000,THOMASSON DR,TREETOPS DR,50000,9,57.4,Collier
2025,030182,03080000,Bridge No-030291,CR 858 / OIL WELL RD,8200,9.5,58,Collier
2025,030271,03000301,GOLDEN GATE BLVD,12TH AVE NE,3200,9,57.7,Collier
2025,034034,03530000,DANFORD STREET,BAYSHORE DR,2000,9,57.7,Collier
2025,030061,03000049,OIL WELL RD,POPE JOHN PAUL II BL,4100,9.5,57.7,Collier
2025,030029,03080000,1ST ST,IMMOKALEE DR,22000,9,58,Collier
2025,034152,03514000,US-41/SR-45,CHANNEL THIRTY DR,18200,9,57.7,Collier
2025,030175,03003000,SR-84/DAVIS BLVD,NORTH RD,53500,9,57.7,Collier
2025,034601,03030000,N/A,BECK BLVD,60000,9,57.4,Collier
2025,030176,03001000,AIRPORT PULLING RD,COUNTY BARN RD,27000,9,57.7,Collier
2025,034524,03550000,VANDERBILT BCH RD,US 41,12300,9,57.7,Collier
2025,030178,03001000,US 41/SR 90,AIRPORT PULLING RD,30000,9,57.7,Collier
2025,034157,03527000,CR 858/OIL WELL RD,N/A,2800,9.5,57.7,Collier
2025,037038,03175038,CR 886/GOLDEN GATE,I-75 / SR 93 NB,12500,9,99.9,Collier
2025,037012,03175003,I-75 NB TO SR 951 NB,SR 951 NB,3000,9,99.9,Collier
2025,034528,03513000,RADIO RD/CR 856,GOLDEN GATE PKWY,52500,9,57.7,Collier
2025,030035,03003000,PINE RIDGE RD,N/A,54000,9,57.7,Collier
2025,035029,03010000,NAPLES PLZ  ENT,BANYAN BLVD,41000,9,57.4,Collier
2025,034125,03000523,VANDERBILT BCH RD,CR-846/IMMOKALEE RD,9500,9,57.7,Collier
2025,030054,03550000,US 41,GOODLETTE-FRANK RD,3300,9,57.7,Collier
2025,037001,03175027,I-75,SR-29,750,10.5,99.9,Collier
2025,037023,03175015,PINE RIDGE RD/CR-896,I-75 NB,13000,9,99.9,Collier
2025,034200,03000052,NORMANDY DR,US 41/TAMIAMI TRL,1350,9,57.7,Collier
2025,030173,03175000,BROWARD COUNTY LINE,N/A,26000,10.5,53.9,Collier
2025,034569,03507000,US-41/TAMIAMI TRL,THE COMMONS,32000,9,57.7,Collier
2025,034110,03000042,GOODLETTE FRANK RD,AIRPORT PULLING RD,11900,9,57.7,Collier
2025,035011,03010000,PARK SHORE DR,NAPLES PLZ  ENT,41500,9,57.4,Collier
2025,034188,03633000,RATTLESNAKE HAMMOCK,DAVIS BLVD/SR 84,5300,9,57.7,Collier
2025,030201,03000303,20TH ST NE,N/A,300,9.5,57.7,Collier
2025,034155,03519000,GREEN BLVD,VANDERBILT BEACH RD,34500,9,57.7,Collier
2025,037011,03175001,SR-951,I-75/SR-93 SB,2500,9,99.9,Collier
2025,030045,03000029,PARK SHORE DR,SEAGATE DR,5100,9,57.7,Collier
2025,030273,03000302,12TH AVE NE,N/A,3700,9.5,57.7,Collier
2025,034185,03600000,SNOOK ALLEY,BROADWAY,1300,9.5,57.7,Collier
2025,034114,03000054,GOLDEN GATE BLVD,CR 846/ IMMOKALEE RD,8800,9,57.7,Collier
